Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Information Systems Management (4-year programme) (cum laude & above),School of Information Systems,0.941,4305,4334,4000,4750,SMU,2017,No,SMU GES 2017,Information Systems Management (4-year programme) (cum laude & above) | SMU 2017,Information Systems Management (4-year programme) (cum laude & above)
Social Sciences (4-year programme),School of Social Sciences,0.78,3493,3300,3000,3750,SMU,2017,No,SMU GES 2017,Social Sciences (4-year programme) | SMU 2017,Social Sciences (4-year programme)
Social Sciences (4-year programme) (cum laude & above),School of Social Sciences,0.818,3938,3630,3300,4000,SMU,2017,No,SMU GES 2017,Social Sciences (4-year programme) (cum laude & above) | SMU 2017,Social Sciences (4-year programme) (cum laude & above)
Law (4-year programme),School of Law,0.94,4941,5000,4000,5840,SMU,2017,No,SMU GES 2017,Law (4-year programme) | SMU 2017,Law (4-year programme)
Law (4-year programme) (cum laude & above),School of Law,0.979,5287,5600,4200,6000,SMU,2017,No,SMU GES 2017,Law (4-year programme) (cum laude & above) | SMU 2017,Law (4-year programme) (cum laude & above)
Bachelor of Engineering (Engineering Product Development),SUTD,0.873,3638,3600,3450,3800,SUTD,2017,No,SUTD GES 2017,Bachelor of Engineering (Engineering Product Development) | SUTD 2017,Engineering Product Development
Bachelor of Engineering (Information Systems Technology & Design),SUTD,1,4175,4023,3600,4900,SUTD,2017,No,SUTD GES 2017,Bachelor of Engineering (Information Systems Technology & Design) | SUTD 2017,Information Systems Technology & Design
Bachelor of Engineering (Engineering Systems & Design),SUTD,0.854,3956,3850,3600,4210,SUTD,2017,No,SUTD GES 2017,Bachelor of Engineering (Engineering Systems & Design) | SUTD 2017,Engineering Systems & Design
Bachelor of Science (Architecture & Sustainable Design),SUTD,0,0,0,0,0,SUTD,2017,Suppressed,SUTD GES 2017,Bachelor of Science (Architecture & Sustainable Design) | SUTD 2017,Architecture & Sustainable Design
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0.923,3067,3000,2800,3200,SIT,2017,No,SIT GES 2017,Bachelor of Arts in Game Design | SIT 2017,Game Design
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.692,2876,2875,2700,3000,SIT,2017,No,SIT GES 2017,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2017,Fine Arts in Digital Arts & Animation
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,1,3291,3250,2900,3600,SIT,2017,No,SIT GES 2017,Bachelor of Science in Computer Science & Game Design | SIT 2017,Computer Science & Game Design
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,0.906,3904,3800,3558,4140,SIT,2017,No,SIT GES 2017,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2017,Computer Science in Real-Time Interactive Simulation
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.685,2949,2700,2500,3200,SIT,2017,No,SIT GES 2017,Bachelor of Arts with Honours in Communication Design | SIT 2017,in Communication Design with Honours
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.872,2841,2700,2500,3000,SIT,2017,No,SIT GES 2017,Bachelor of Arts with Honours in Interior Design | SIT 2017,in Interior Design with Honours
Bachelor of Engineering with Honours in Chemical Engineering,Newcastle University,0.621,3290,3255,2975,3600,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2017,in Chemical Engineering with Honours
Bachelor of Engineering with Honours in Electrical Power Engineering,Newcastle University,0.889,3269,3200,3000,3450,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2017,in Electrical Power Engineering with Honours
Bachelor of Engineering with Honours in Marine Engineering,Newcastle University,0.885,3541,3500,3000,4000,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Marine Engineering | SIT 2017,in Marine Engineering with Honours
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Newcastle University,0.857,3145,3000,2800,3350,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2017,in Mechanical Design & Manufacturing Engineering with Honours
Bachelor of Engineering with Honours in Naval Architecture,Newcastle University,0.955,3537,3300,3200,3500,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Naval Architecture | SIT 2017,in Naval Architecture with Honours
Bachelor of Engineering with Honours in Offshore Engineering,Newcastle University,0.867,3866,3300,3300,3950,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2017,in Offshore Engineering with Honours
Bachelor of Science with Honours in Food & Human Nutrition,Newcastle University,0.791,2980,2700,2475,3200,SIT,2017,No,SIT GES 2017,Bachelor of Science with Honours in Food & Human Nutrition | SIT 2017,in Food & Human Nutrition with Honours
Bachelor of Science in Chemical Engineering,Technische Universität München,0.741,3301,3200,3000,3375,SIT,2017,No,SIT GES 2017,Bachelor of Science in Chemical Engineering | SIT 2017,Chemical Engineering
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.828,3591,3400,3000,4000,SIT,2017,No,SIT GES 2017,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2017,Electrical Engineering & Information Technology
Bachelor of Professional Studies in Culinary Arts Management,The Culinary Institute of America,0.545,2598,2300,2200,3259,SIT,2017,No,SIT GES 2017,Bachelor of Professional Studies in Culinary Arts Management | SIT 2017,Professional Studies in Culinary Arts Management
Bachelor in Science (Diagnostic Radiography),Trinity College Dublin,0,0,0,0,0,SIT,2017,Suppressed,SIT GES 2017,Bachelor in Science (Diagnostic Radiography) | SIT 2017,Bachelor in Science (Diagnostic Radiography)
Bachelor in Science (Occupational Therapy),Trinity College Dublin,0.971,3258,3300,3020,3450,SIT,2017,No,SIT GES 2017,Bachelor in Science (Occupational Therapy) | SIT 2017,Bachelor in Science (Occupational Therapy)
Bachelor in Science (Physiotherapy),Trinity College Dublin,0.968,3489,3400,3300,3500,SIT,2017,No,SIT GES 2017,Bachelor in Science (Physiotherapy) | SIT 2017,Bachelor in Science (Physiotherapy)
Bachelor in Science (Radiation Therapy),Trinity College Dublin,0,0,0,0,0,SIT,2017,Suppressed,SIT GES 2017,Bachelor in Science (Radiation Therapy) | SIT 2017,Bachelor in Science (Radiation Therapy)
Bachelor of Engineering with Honours in Aeronautical Engineering,University of Glasgow,0.656,3481,3200,2950,3700,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Aeronautical Engineering | SIT 2017,in Aeronautical Engineering with Honours
Bachelor of Engineering with Honours in Aerospace Systems,University of Glasgow,0.525,3280,3125,2625,3650,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Aerospace Systems | SIT 2017,in Aerospace Systems with Honours
Bachelor of Engineering with Honours in Mechanical Design Engineering,University of Glasgow,0.879,3670,3200,3000,3700,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Mechanical Design Engineering | SIT 2017,in Mechanical Design Engineering with Honours
Bachelor of Engineering with Honours in Mechatronics,University of Glasgow,0.865,3595,3400,3000,4000,SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Mechatronics | SIT 2017,in Mechatronics with Honours
Bachelor of Science with Honours in Computing Science,University of Glasgow,0.859,3724,3600,3300,4200,SIT,2017,No,SIT GES 2017,Bachelor of Science with Honours in Computing Science | SIT 2017,in Computing Science with Honours
Bachelor of Science with Honours in Nursing Practice,University of Manchester,0.965,3741,3650,3600,3900,SIT,2017,No,SIT GES 2017,Bachelor of Science with Honours in Nursing Practice | SIT 2017,in Nursing Practice with Honours
Bachelor of Arts with Honours in Criminology & Security,University of Liverpool,0.695,3825,3800,3050,4160,SIT,2017,No,SIT GES 2017,Bachelor of Arts with Honours in Criminology & Security | SIT 2017,in Criminology & Security with Honours
Bachelor of Science in Early Childhood Education,Wheelock College,0.929,2890,2900,2800,3000,SIT,2017,No,SIT GES 2017,Bachelor of Science in Early Childhood Education | SIT 2017,Early Childhood Education
Bacherlor of Accountancy with Honours,Singapore Institute of Technology,0.921,3113,3088,2975,3250,SIT,2017,No,SIT GES 2017,Bacherlor of Accountancy with Honours | SIT 2017,Bacherlor of Accountancy with Honours
Bachelor of Hospitality Business with Honours,Singapore Institute of Technology,0.842,2829,2800,2500,3100,SIT,2017,No,SIT GES 2017,Bachelor of Hospitality Business with Honours | SIT 2017,Hospitality Business with Honours
Accountancy,Nanyang Business School,0.922,3245,3000,3000,3200,NTU,2018,No,NTU GES 2018,Accountancy | NTU 2018,Accountancy
Accountancy & Business,Nanyang Business School,0.977,4456,4000,3600,4633,NTU,2018,No,NTU GES 2018,Accountancy & Business | NTU 2018,Accountancy & Business
Business,Nanyang Business School,0.843,3776,3500,3200,4000,NTU,2018,No,NTU GES 2018,Business | NTU 2018,Business
Business and Computing,Nanyang Business School,1,4572,4575,4200,4900,NTU,2018,No,NTU GES 2018,Business and Computing | NTU 2018,Business and Computing
Aerospace Engineering,College of Engineering,0.884,3873,3800,3365,4280,NTU,2018,No,NTU GES 2018,Aerospace Engineering | NTU 2018,Aerospace Engineering
Aerospace Engineering and Economics,College of Engineering,0,0,0,0,0,NTU,2018,Suppressed,NTU GES 2018,Aerospace Engineering and Economics | NTU 2018,Aerospace Engineering and Economics
Bioengineering,College of Engineering,0.662,3660,3500,3200,4000,NTU,2018,No,NTU GES 2018,Bioengineering | NTU 2018,Bioengineering
Business and Computer Engineering,College of Engineering,0,0,0,0,0,NTU,2018,Suppressed,NTU GES 2018,Business and Computer Engineering | NTU 2018,Business and Computer Engineering
Chemical & Biomolecular Engineering,College of Engineering,0.86,3782,3600,3300,4200,NTU,2018,No,NTU GES 2018,Chemical & Biomolecular Engineering | NTU 2018,Chemical & Biomolecular Engineering
Chemical & Biomolecular Engineering and Economics,College of Engineering,0,0,0,0,0,NTU,2018,Suppressed,NTU GES 2018,Chemical & Biomolecular Engineering and Economics | NTU 2018,Chemical & Biomolecular Engineering and Economics
Civil Engineering,College of Engineering,0.965,3597,3500,3200,3816,NTU,2018,No,NTU GES 2018,Civil Engineering | NTU 2018,Civil Engineering
Computer Engineering,College of Engineering,0.958,3865,3775,3400,4200,NTU,2018,No,NTU GES 2018,Computer Engineering | NTU 2018,Computer Engineering
Computer Engineering and Economics,College of Engineering,0,0,0,0,0,NTU,2018,Suppressed,NTU GES 2018,Computer Engineering and Economics | NTU 2018,Computer Engineering and Economics
Computer Science,College of Engineering,0.93,4062,4000,3500,4500,NTU,2018,No,NTU GES 2018,Computer Science | NTU 2018,Computer Science
Electrical & Electronic Engineering,College of Engineering,0.91,3772,3600,3323,4000,NTU,2018,No,NTU GES 2018,Electrical & Electronic Engineering | NTU 2018,Electrical & Electronic Engineering
Environmental Engineering,College of Engineering,0.816,3485,3400,3000,3500,NTU,2018,No,NTU GES 2018,Environmental Engineering | NTU 2018,Environmental Engineering
Environmental Engineering and Economics,College of Engineering,0,0,0,0,0,NTU,2018,Suppressed,NTU GES 2018,Environmental Engineering and Economics | NTU 2018,Environmental Engineering and Economics
Information Engineering & Media,College of Engineering,0.89,3796,3750,3500,4140,NTU,2018,No,NTU GES 2018,Information Engineering & Media | NTU 2018,Information Engineering & Media
Maritime Studies,College of Engineering,0.9,3409,3350,3000,3640,NTU,2018,No,NTU GES 2018,Maritime Studies | NTU 2018,Maritime Studies
Materials Engineering,College of Engineering,0.819,3673,3500,3200,4000,NTU,2018,No,NTU GES 2018,Materials Engineering | NTU 2018,Materials Engineering
Mechanical Engineering,College of Engineering,0.811,3653,3500,3200,4000,NTU,2018,No,NTU GES 2018,Mechanical Engineering | NTU 2018,Mechanical Engineering
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.538,2986,3000,2600,3300,NTU,2018,No,NTU GES 2018,"Art, Design & Media | NTU 2018","Art, Design & Media"
Chinese,"College of Humanities, Arts, & Social Sciences",0.763,3260,3500,3000,3518,NTU,2018,No,NTU GES 2018,Chinese | NTU 2018,Chinese
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.842,3166,3000,2750,3500,NTU,2018,No,NTU GES 2018,Communication Studies | NTU 2018,Communication Studies
Economics,"College of Humanities, Arts, & Social Sciences",0.84,3755,3536,3200,3959,NTU,2018,No,NTU GES 2018,Economics | NTU 2018,Economics
English,"College of Humanities, Arts, & Social Sciences",0.592,3124,3000,2600,3500,NTU,2018,No,NTU GES 2018,English | NTU 2018,English
History,"College of Humanities, Arts, & Social Sciences",0.564,3719,3500,3260,4150,NTU,2018,No,NTU GES 2018,History | NTU 2018,History
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.458,3091,3200,2900,3500,NTU,2018,No,NTU GES 2018,Linguistics & Multilingual Studies | NTU 2018,Linguistics & Multilingual Studies
Philosophy,"College of Humanities, Arts, & Social Sciences",0.76,3126,3000,2550,3500,NTU,2018,No,NTU GES 2018,Philosophy | NTU 2018,Philosophy
Psychology,"College of Humanities, Arts, & Social Sciences",0.78,3389,3380,3000,3684,NTU,2018,No,NTU GES 2018,Psychology | NTU 2018,Psychology
Public Policy & Global Affairs,"College of Humanities, Arts, & Social Sciences",0.71,3619,3350,3050,4018,NTU,2018,No,NTU GES 2018,Public Policy & Global Affairs | NTU 2018,Public Policy & Global Affairs
Sociology,"College of Humanities, Arts, & Social Sciences",0.604,3374,3220,3000,3841,NTU,2018,No,NTU GES 2018,Sociology | NTU 2018,Sociology
Biological Sciences,College of Science,0.67,3319,3250,3035,3650,NTU,2018,No,NTU GES 2018,Biological Sciences | NTU 2018,Biological Sciences
Biomedical Sciences,College of Science,0,0,0,0,0,NTU,2018,Suppressed,NTU GES 2018,Biomedical Sciences | NTU 2018,Biomedical Sciences
Biomedical Sciences & Chinese Medicine,College of Science,0.818,2953,3000,2700,3100,NTU,2018,No,NTU GES 2018,Biomedical Sciences & Chinese Medicine | NTU 2018,Biomedical Sciences & Chinese Medicine
Chemistry & Biological Chemistry,College of Science,0.639,3427,3200,3000,3725,NTU,2018,No,NTU GES 2018,Chemistry & Biological Chemistry | NTU 2018,Chemistry & Biological Chemistry
Environmental Earth Systems Sciences,College of Science,0.571,3562,3500,3200,4000,NTU,2018,No,NTU GES 2018,Environmental Earth Systems Sciences | NTU 2018,Environmental Earth Systems Sciences
Mathematical Sciences,College of Science,0.759,3744,3650,3360,4000,NTU,2018,No,NTU GES 2018,Mathematical Sciences | NTU 2018,Mathematical Sciences
Mathematics & Economics,College of Science,0.833,3569,3600,3200,4000,NTU,2018,No,NTU GES 2018,Mathematics & Economics | NTU 2018,Mathematics & Economics
Physics & Applied Physics,College of Science,0.741,3576,3400,3025,3800,NTU,2018,No,NTU GES 2018,Physics & Applied Physics | NTU 2018,Physics & Applied Physics
Arts (With Education),National Institute of Education (NIE),0.992,3751,3800,3600,3806,NTU,2018,No,NTU GES 2018,Arts (With Education) | NTU 2018,Arts (With Education)
Science (With Education),National Institute of Education (NIE),1,3738,3800,3600,4000,NTU,2018,No,NTU GES 2018,Science (With Education) | NTU 2018,Science (With Education)
Sports Science & Management,Sports Science & Management,0.611,3382,3300,3000,3600,NTU,2018,No,NTU GES 2018,Sports Science & Management | NTU 2018,Sports Science & Management
Medicine,Lee Kong Chian School of Medicine,0,0,0,0,0,NTU,2018,Suppressed,NTU GES 2018,Medicine | NTU 2018,Medicine
Bachelor of Arts,Faculty of Arts & Social Sciences,0.566,3322,3200,2800,3600,NUS,2018,No,NUS GES 2018,Bachelor of Arts | NUS 2018,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.608,3377,3300,3000,3600,NUS,2018,No,NUS GES 2018,Bachelor of Arts (Hons) | NUS 2018,Arts
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.745,3526,3400,3200,3800,NUS,2018,No,NUS GES 2018,Bachelor of Social Sciences | NUS 2018,Social Sciences
Bachelor of Dental Surgery,Faculty of Dentistry,1,4228,4050,4000,4450,NUS,2018,No,NUS GES 2018,Bachelor of Dental Surgery | NUS 2018,Dental Surgery
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.698,3444,3389,3280,3650,NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Biomedical Engineering) | NUS 2018,Biomedical Engineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.841,4050,4000,3500,4300,NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Chemical Engineering) | NUS 2018,Chemical Engineering
